업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
군포교통,5531,지선,군포공영차고지,노량진,42,40,2,0,36,4,51,185,5,3,203,4,7,0420,2300
보영운수,5534,지선,광명공영차고지,여의도,15,14,1,0,12,2,28,112,8,4,96,8,17,0415,2300
한성운수,5535,지선,하안동,노량진,19,17,2,1,15,2,33,130,7,4,120,6,15,0430,2310
한성운수,5536,지선,하안동,노량진,23,22,1,0,20,2,25,105,9,5,190,5,10,0430,2320
범일운수,5537,지선,시흥동,가산디지털단지역,6,6,0,0,5,1,11,50,18,9,99,10,16,0430,2330
보성운수,5615,지선,여의도,난곡,19,18,1,0,16,2,28,120,8,4,128,7,12,0410,2300
한남여객,5616,지선,가산동,등촌동,19,18,1,0,15,3,45,183,5,3,84,12,15,0420,2220
범일운수,5617,지선,시흥,구로디지털단지역,8,7,1,0,6,1,11,37,20,9,129,7,10,0450,2350
보성운수,5618,지선,구로동,구로동,24,22,2,0,21,1,34,160,6,4,120,7,12,0340,2220
범일운수,5619,지선,시흥동,신도림역,12,11,1,0,10,1,19,63,12,6,126,7,11,0430,2330
범일운수,5620,지선,시흥,선유도역,21,19,2,0,18,1,28,117,8,4,148,6,9,0430,2310
범일운수,5621,지선,삼익아파트,구로디지털단지역,8,8,0,0,7,1,6,30,24,12,180,5,13,0520,2350
군포교통,5623,지선,군포공영차고지,여의도,38,36,2,0,30,6,55,190,5,3,174,5,10,0400,2240
대원여객,5624,지선,군포터미널,구로디지탈단지역,13,12,1,0,11,1,47,155,6,3,69,18,22,0410,2300
안양교통,5625,지선,안양비산동,영등포역(영등포시장,20,18,2,0,16,2,41,150,6,3,107,6,14,0400,2240
안양교통,5626,지선,안양,온수동,26,24,2,0,21,3,49,190,5,3,119,7,14,0405,2230
범일운수,5627,지선,노온사동,구로디지털단지역,15,14,1,0,11,3,35,105,9,5,114,9,14,0430,2330
보영운수,5630,지선,광명공영차고지,목동역,14,13,1,0,11,2,28,115,8,4,83,10,19,0415,2300
범일운수,5633,지선,노온사동,순복음교회,18,17,1,0,17,0,56,180,5,3,85,11,15,0430,2250
한남여객,5712,지선,가산동,이대전철역,29,28,1,0,28,0,49,175,5,3,140,7,11,0430,2230
안양교통,5713,지선,안양종합운동장입구,아현전철역,28,26,2,0,22,4,52,190,5,3,122,7,15,0400,2220
보영운수,5714,지선,광명공영차고지,이대입구,36,33,3,0,30,3,42,170,6,2,160,5,11,0415,2240
중부운수,6211,지선,신월동,상왕십리,23,22,1,0,21,1,53,200,5,3,100,8,18,0420,2240
태진운수,6411,지선,구로동,개포동,30,29,1,0,25,4,53,240,4,2,111,6,12,0400,2240
태진운수,6511,지선,구로동,서울대,11,9,2,1,8,1,28,114,8,4,76,13,18,0410,2310
보성운수,6512,지선,구로동,서울대,24,23,1,0,20,3,37,170,6,4,122,6,11,0400,2240
세풍운수,6513,지선,철산동,서울대,25,24,1,0,23,1,38,150,7,4,154,8,16,0430,2230
도원교통,6514,지선,양천공영차고지,서울대학교,27,26,1,0,24,2,51,210,4,3,111,8,12,0400,2200
관악교통,6515,지선,양천공영차고지,삼막사거리,36,35,1,0,32,3,54,210,4,2,144,5,7,0410,2210
오케이버스,6516,지선,박미삼거리,양천공영차고지,20,19,1,1,17,2,50,230,4,2,76,12,17,0400,2200
태진운수,6611,지선,신도림역,우성아파트,5,4,1,0,3,1,9,35,26,16,94,9,18,0500,0010
세풍운수,6613,지선,양천공영차고지,대림역,10,8,2,1,8,0,32,120,8,4,72,12,18,0430,2250
세풍운수,6614,지선,양천공영차고지,부천남부생태공원,13,12,1,0,12,0,34,120,8,4,96,9,15,0430,2250
세풍운수,6616,지선,철산동,온수동,15,14,1,0,12,2,27,122,9,5,118,8,14,0430,2310
도원교통,6617,지선,양천공영차고지,목동우성아파트,10,9,1,0,8,1,19,80,12,6,100,8,13,0500,2330
도원교통,6620,지선,양천공영차고지,당산역,10,9,1,0,8,1,25,105,9,5,77,11,16,0530,2330
오케이버스,6623,지선,양천공영차고지,여의도,14,14,0,0,12,2,32,125,8,4,104,10,14,0410,2300
중부운수,6624,지선,신월동,이대목동병원,19,17,2,0,15,2,24,90,9,5,145,7,16,0500,2340
중부운수,6625,지선,문래동,화곡역,13,12,1,0,11,1,30,108,8,4,90,9,16,0430,2300
오케이버스,6627,지선,양천공영차고지,이대목동병원,12,11,1,0,10,1,28,132,8,4,84,10,15,0430,2310
영인운수,6628,지선,외발산동,여의도,25,24,1,0,22,2,27,120,8,5,185,5,10,0420,2330
김포교통,6629,지선,방화동,영등포역,22,22,0,0,20,2,43,149,6,3,120,6,15,0430,2250
영인운수,6630,지선,외발산동,영등포시장연흥극장,13,12,1,0,11,1,37,155,6,3,69,10,20,0420,2250
공항버스,6631,지선,강서공영차고지,영등포시장,26,25,1,0,22,3,38,140,7,4,160,6,10,0420,2250
공항버스,6632,지선,강서공영차고지.개화역,강서공영차고지.개화역,17,17,0,0,15,2,35,130,8,4,121,8,10,0430,2300
한성운수,6635,지선,광명 하안동,구로공단역,8,7,1,0,6,1,15,60,16,8,101,8,13,0430,2350
범일운수,6637,지선,노온사동,목동,35,32,3,0,30,2,37,128,7,4,218,4,6,0430,2310
세풍운수,6638,지선,철산동,오목교,10,8,2,1,8,0,26,105,9,5,81,12,17,0430,2300
정평운수,6642,지선,염창역,강서농수산물센타,14,14,0,0,12,2,28,110,9,4,110,8,14,0500,2300
정평운수,6643,지선,가양9단지,가양9단지,6,6,0,0,5,1,9,56,20,12,112,11,15,0500,2320
정평운수,6645,지선,가양9단지,가양9단지,6,6,0,0,5,1,9,49,21,12,117,9,13,0500,2320
정평운수,6647,지선,"강서공영차고지,개화역","강서공영차고지,개화역",13,13,0,0,11,2,24,83,11,6,133,8,13,0500,2320
김포교통,6648,지선,방화동,양천구청,14,13,1,0,11,2,29,130,8,4,96,10,18,0430,2330
오케이버스,6649,지선,신도림역,여의도역,11,11,0,0,9,2,16,75,12,7,122,8,12,0500,2330
